dataset,filename,emotion,audio_path,mel_spec_path
emodb,03a01Fa.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\03a01Fa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\03a01Fa.npy
emodb,03a01Nc.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\03a01Nc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\03a01Nc.npy
emodb,03a01Wa.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03a01Wa.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03a01Wa.npy
emodb,03a02Fc.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\03a02Fc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\03a02Fc.npy
emodb,03a02Nc.wav,neutral,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\neutral\03a02Nc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\neutral\03a02Nc.npy
emodb,03a02Ta.wav,sadness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\sadness\03a02Ta.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\sadness\03a02Ta.npy
emodb,03a02Wb.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03a02Wb.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03a02Wb.npy
emodb,03a02Wc.wav,anger,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\anger\03a02Wc.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\anger\03a02Wc.npy
emodb,03a04Ad.wav,fear,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\fear\03a04Ad.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\fear\03a04Ad.npy
emodb,03a04Fd.wav,happiness,D:\downloaaaad\output\preprocessed_data\processed_audio\emodb\happiness\03a04Fd.wav,D:\downloaaaad\output\preprocessed_data\mel_specs\emodb\happiness\03a04Fd.npy
